step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.51454,0.51613,,
2,2.42434,0.5,,
3,2.47858,0.6,,
4,1.32293,0.91667,,
5,2.50436,0.51613,,
6,1.4899,0.69565,,
7,1.86985,0.625,,
8,2.369,0.58333,,
9,1.67007,0.6875,,
10,2.45727,0.65217,,
11,0.76552,0.75758,,
12,1.89729,0.73913,,
13,0.75492,0.74194,,
14,0.44938,0.88,,
15,0.78948,0.875,,
16,0.93999,0.6087,,
17,0.62542,0.78571,,
18,0.72414,0.81081,,
19,0.62161,0.74194,,
20,1.01366,0.66667,,
21,0.94466,0.66667,,
22,1.02168,0.79167,,
23,0.71923,0.77143,,
24,0.69088,0.69231,,
25,0.28598,0.91667,,
26,0.49228,0.77419,,
27,0.31814,0.88462,,
28,0.51737,0.75758,,
29,0.3927,0.875,,
30,0.48387,0.80769,,
31,0.47992,0.86486,,
32,0.37713,0.87097,,
33,0.48223,0.77143,,
34,0.37935,0.87097,,
35,0.36454,0.85714,,
36,1.48782,0.65625,,
37,1.42307,0.65625,,
38,0.29031,0.87097,,
39,1.14081,0.73913,,
40,0.33552,0.82857,,
41,0.19224,0.96154,,
42,0.03946,1.0,,
43,0.17775,0.96,,
44,0.42219,0.83333,,
45,0.28895,0.87879,,
46,0.2332,0.93548,,
47,0.22425,0.91892,,
48,0.86898,0.74194,,
49,0.53552,0.86667,,
50,0.20394,0.93548,,
51,0.09091,1.0,,
52,0.13175,0.96154,,
53,0.14556,1.0,,
54,0.11643,1.0,,
55,0.28819,0.84375,,
56,0.11368,0.96774,,
57,0.87878,0.6875,,
58,0.13158,0.94595,,
59,0.27811,0.875,,
60,0.19874,0.88462,,
61,0.18253,0.87097,,
62,0.04864,1.0,,
63,0.40564,0.78261,,
64,0.45066,0.86667,,
65,0.64365,0.80645,,
66,0.15027,0.93939,,
67,0.00361,1.0,,
68,0.13687,0.97143,,
69,0.31584,0.86957,,
70,0.09073,1.0,,
71,0.08869,1.0,,
72,0.13618,0.96875,,
73,0.62239,0.78125,,
74,0.01205,1.0,,
75,0.90489,0.78261,,
76,0.12699,0.93548,,
77,0.103,0.95833,,
78,0.04398,1.0,,
79,0.03125,1.0,,
80,0.09841,0.9375,,
81,0.08325,0.96774,,
82,0.07079,1.0,,
83,0.29484,0.93333,,
84,0.01122,1.0,,
85,0.00018,1.0,,
86,0.05452,1.0,,
87,0.1103,1.0,,
88,0.06326,1.0,,
89,0.00309,1.0,,
90,0.01327,1.0,,
91,0.05254,1.0,,
92,0.00365,1.0,,
93,0.04644,1.0,,
94,0.01018,1.0,,
95,0.05932,1.0,,
96,0.58816,0.78125,,
97,0.1368,0.95652,,
98,0.57968,0.8125,,
99,0.00496,1.0,,
100,0.03689,1.0,,
101,0.43966,0.87097,,
102,0.00096,1.0,,
103,0.00699,1.0,,
104,0.0856,0.95652,,
105,0.0295,1.0,,
106,0.0002,1.0,,
107,0.71984,0.82609,,
108,0.38024,0.87097,,
109,0.0299,1.0,,
110,0.04079,1.0,,
111,0.686,0.82609,,
112,0.00291,1.0,,
113,0.02872,1.0,,
114,0.00641,1.0,,
